BN,IN,atc
STREPSILS LIDOCAINE,CHLORHYDRATE DE LIDOCAÏNE,NA
STREPSILS MENTHE GLACIALE,AMYLMÉTACRÉSOL,NA
STREPSILS MENTHE GLACIALE,DICHLOROBENZYLIQUE (ALCOOL),R02AA03
STREPSILS MIEL CITRON,AMYLMÉTACRÉSOL,NA
STREPSILS MIEL CITRON,"ALCOOL DICHLORO-2,4 BENZYLIQUE",R02AA03
STREPSILS MIEL CITRON,DICHLOROBENZYLIQUE (ALCOOL),R02AA03
STREPSILS ORANGE VITAMINE C,ACIDE ASCORBIQUE,A11GA01
STREPSILS ORANGE VITAMINE C,ACIDE ASCORBIQUE,G01AD03
STREPSILS ORANGE VITAMINE C,ACIDE ASCORBIQUE,S01XA15
STREPSILS ORANGE VITAMINE C,ASCORBATE DE SODIUM,NA
STREPSILS ORANGE VITAMINE C,AMYLMÉTACRÉSOL,NA
STREPSILS ORANGE VITAMINE C,"ALCOOL DICHLORO-2,4 BENZYLIQUE",R02AA03
STREPSILSPRAY,AMYLMÉTACRÉSOL,NA
STREPSILSPRAY,"ALCOOL DICHLORO-2,4 BENZYLIQUE",R02AA03
STREPSILSPRAY,LIDOCAÏNE,C01BB01
STREPSILSPRAY,LIDOCAÏNE,C05AD01
STREPSILSPRAY,LIDOCAÏNE,D04AB01
STREPSILSPRAY,LIDOCAÏNE,N01BB02
STREPSILSPRAY,LIDOCAÏNE,R02AD02
STREPSILSPRAY,LIDOCAÏNE,S01HA07
STREPSILSPRAY,LIDOCAÏNE,S02DA01
STREPTOMYCINE,STREPTOMYCINE BASE,A07AA04
STREPTOMYCINE,STREPTOMYCINE BASE,J01GA01
STRESAM,ÉTIFOXINE (CHLORHYDRATE D'),NA
STRIADYNE,TRIPHOSADÉNINE,NA
STRIADYNE,TRIPHOSADÉNINE SODIQUE,NA
STRIASCAN,IOFLUPANE (123I),V09AB03
STRIBILD,TÉNOFOVIR DISOPROXIL,J05AF07
STRIBILD,COBICISTAT,V03AX03
STRIBILD,EMTRICITABINE,J05AF09
STRIBILD,FUMARATE DE TÉNOFOVIR DISOPROXIL,NA
STRIBILD,ELVITÉGRAVIR,J05AJ02
STRIVERDI RESPIMAT,OLODATÉROL,R03AC19
STRIVERDI RESPIMAT,CHLORHYDRATE D'OLODATÉROL,NA
STROMECTOL,IVERMECTINE,D11AX22
STROMECTOL,IVERMECTINE,P02CF01
STRUCTOCAL VITAMINE D3,CARBONATE DE CALCIUM,A02AC01
STRUCTOCAL VITAMINE D3,CARBONATE DE CALCIUM,A12AA04
STRUCTOCAL VITAMINE D3,CHOLÉCALCIFÉROL,A11CC05
STRUCTOCAL VITAMINE D3,CALCIUM ÉLÉMENT,NA
STRUCTOCAL VITAMINE D3,"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",A11CC05
STRUCTOFLEX,CHLORHYDRATE DE GLUCOSAMINE,NA
STRUCTOFLEX,GLUCOSAMINE,M01AX05
SUBOXONE,CHLORHYDRATE DE BUPRÉNORPHINE,NA
SUBOXONE,BUPRÉNORPHINE,N02AE01
SUBOXONE,BUPRÉNORPHINE,N07BC01
SUBOXONE,NALOXONE BASE,A06AH04
SUBOXONE,NALOXONE BASE,V03AB15
SUBOXONE,CHLORHYDRATE DE NALOXONE DIHYDRATÉ,NA
SUBSOL,BICARBONATE DE SODIUM,B05CB04
SUBSOL,BICARBONATE DE SODIUM,B05XA02
SUBSOL,CHLORURE DE SODIUM,A12CA01
SUBSOL,CHLORURE DE SODIUM,B05CB01
SUBSOL,CHLORURE DE SODIUM,B05XA03
SUBSOL,CHLORURE DE POTASSIUM,A12BA01
SUBSOL,CHLORURE DE POTASSIUM,B05XA01
SUBSOL,CHLORURE DE CALCIUM DIHYDRATÉ,NA
SUBSOL,GLUCOSE ANHYDRE,B05CX01
SUBSOL,GLUCOSE ANHYDRE,V04CA02
SUBSOL,GLUCOSE ANHYDRE,V06DC01
SUBSOL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,A12CC01
SUBSOL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,B05XA11
SUBSOL,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,NA
SUBSOL,GLUCOSE MONOHYDRATÉ,NA
SUBSOL SANS POTASSIUM,BICARBONATE DE SODIUM,B05CB04
SUBSOL SANS POTASSIUM,BICARBONATE DE SODIUM,B05XA02
SUBSOL SANS POTASSIUM,CHLORURE DE SODIUM,A12CA01
SUBSOL SANS POTASSIUM,CHLORURE DE SODIUM,B05CB01
SUBSOL SANS POTASSIUM,CHLORURE DE SODIUM,B05XA03
SUBSOL SANS POTASSIUM,CHLORURE DE CALCIUM DIHYDRATÉ,NA
SUBSOL SANS POTASSIUM,GLUCOSE ANHYDRE,B05CX01
SUBSOL SANS POTASSIUM,GLUCOSE ANHYDRE,V04CA02
SUBSOL SANS POTASSIUM,GLUCOSE ANHYDRE,V06DC01
SUBSOL SANS POTASSIUM,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,A12CC01
SUBSOL SANS POTASSIUM,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,B05XA11
SUBSOL SANS POTASSIUM,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,NA
SUBSOL SANS POTASSIUM,GLUCOSE MONOHYDRATÉ,NA
SUBUTEX,CHLORHYDRATE DE BUPRÉNORPHINE,NA
SUBUTEX,BUPRÉNORPHINE,N02AE01
SUBUTEX,BUPRÉNORPHINE,N07BC01
SUCCICAPTAL,SUCCIMER,NA
SUFENTA,SUFENTANIL,N01AH03
SUFENTA,CITRATE DE SUFENTANIL,NA
SUFENTA,SUFENTANIL (CITRATE DE),NA
SUFENTANIL,SUFENTANIL,N01AH03
SUFENTANIL,CITRATE DE SUFENTANIL,NA
SULFARLEM,ANÉTHOLTRITHIONE,A16AX02
SULFARLEM S,ANÉTHOLTRITHIONE,A16AX02
SULFATE DE MAGNESIUM,SULFATE DE MAGNÉSIUM HEPTAHYDRATÉ,NA
SULPIRIDE,SULPIRIDE,N05AL01
SUMATRIPTAN,SUMATRIPTAN (SUCCINATE DE),NA
SUMATRIPTAN,SUMATRIPTAN,N02CC01
SUMATRIPTAN,SUCCINATE DE SUMATRIPTAN,NA
SUNITINIB,SUNITINIB,L01EX01
SUNITINIB,MALATE DE SUNITINIB,NA
SUNOSI,CHLORHYDRATE DE SOLRIAMFÉTOL,N06BA14
SUNOSI,SOLRIAMFÉTOL,N06BA14
SUPPLIVEN,IODURE DE POTASSIUM,R05CA02
SUPPLIVEN,IODURE DE POTASSIUM,S01XA04
SUPPLIVEN,IODURE DE POTASSIUM,V03AB21
SUPPLIVEN,CHLORURE DE ZINC,B05XA12
SUPPLIVEN,MOLYBDATE DE SODIUM DIHYDRATÉ,NA
SUPPLIVEN,FLUORURE DE SODIUM,A01AA01
SUPPLIVEN,FLUORURE DE SODIUM,A12CD01
SUPPLIVEN,CHLORURE DE CHROME HEXAHYDRATÉ,NA
SUPPLIVEN,CHLORURE DE MANGANÈSE TÉTRAHYDRATÉ,NA
SUPPLIVEN,SÉLÉNITE DE SODIUM,A12CE02
SUPPLIVEN,CHLORURE DE CUIVRE DIHYDRATÉ,NA
SUPPLIVEN,CHLORURE FERRIQUE HEXAHYDRATÉ,NA
SUPPOSITOIRE A LA GLYCERINE ADULTES,GLYCÉROL,A06AG04
SUPPOSITOIRE A LA GLYCERINE ADULTES,GLYCÉROL,A06AX01
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ADULTES,GLYCÉROL,A06AG04
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ADULTES,GLYCÉROL,A06AX01
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ENFANTS,GLYCÉROL,A06AG04
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ENFANTS,GLYCÉROL,A06AX01
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM NOURRISSONS,GLYCÉROL,A06AG04
SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM NOURRISSONS,GLYCÉROL,A06AX01
SUPPOSITOIRE A LA GLYCERINE ENFANTS,GLYCÉROL,A06AG04
SUPPOSITOIRE A LA GLYCERINE ENFANTS,GLYCÉROL,A06AX01
SUPPOSITOIRE A LA GLYCERINE,GLYCÉROL,A06AG04
SUPPOSITOIRE A LA GLYCERINE,GLYCÉROL,A06AX01
SUPPOSITOIRES A LA GLYCERINE,GLYCÉROL,A06AG04
SUPPOSITOIRES A LA GLYCERINE,GLYCÉROL,A06AX01
SUPPOSITOIRES A LA GLYCERINE MONOT ADULTES,GLYCÉROL,A06AG04
SUPPOSITOIRES A LA GLYCERINE MONOT ADULTES,GLYCÉROL,A06AX01
SUPPOSITOIRES A LA GLYCERINE MONOT ENFANTS,GLYCÉROL,A06AG04
SUPPOSITOIRES A LA GLYCERINE MONOT ENFANTS,GLYCÉROL,A06AX01
SUPPOSITOIRES A LA GLYCERINE MONOT NOURRISSONS,GLYCÉROL,A06AG04
SUPPOSITOIRES A LA GLYCERINE MONOT NOURRISSONS,GLYCÉROL,A06AX01
SUPRANE,DESFLURANE,N01AB07
SURBRONC EXPECTORANT AMBROXOL,CHLORHYDRATE D'AMBROXOL,NA
SURBRONC EXPECTORANT AMBROXOL SANS SUCRE,CHLORHYDRATE D'AMBROXOL,NA
SURGAM,ACIDE TIAPROFÉNIQUE,M01AE11
SURGESTONE,PROMÉGESTONE,G03DB07
SURMONTIL,TRIMIPRAMINE BASE,N06AA06
SURMONTIL,MÉSILATE DE TRIMIPRAMINE,NA
SUSTIVA,ÉFAVIRENZ,J05AG03
SUTENT,SUNITINIB,L01EX01
SUTENT,MALATE DE SUNITINIB,NA
SUVREZA,ROSUVASTATINE CALCIQUE,NA
SUVREZA,ROSUVASTATINE,C10AA07
SUVREZA,ÉZÉTIMIBE,C10AX09
SUXAMETHONIUM,CHLORURE DE SUXAMÉTHONIUM,NA
SYLVANT,SILTUXIMAB,L04AC11
SYMBICORT RAPIHALER,BUDÉSONIDE,A07EA06
SYMBICORT RAPIHALER,BUDÉSONIDE,D07AC09
SYMBICORT RAPIHALER,BUDÉSONIDE,R01AD05
SYMBICORT RAPIHALER,BUDÉSONIDE,R03BA02
SYMBICORT RAPIHALER,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
SYMBICORT TURBUHALER,BUDÉSONIDE,A07EA06
SYMBICORT TURBUHALER,BUDÉSONIDE,D07AC09
SYMBICORT TURBUHALER,BUDÉSONIDE,R01AD05
SYMBICORT TURBUHALER,BUDÉSONIDE,R03BA02
SYMBICORT TURBUHALER,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
SYMKEVI,TEZACAFTOR,NA
SYMKEVI,IVACAFTOR,R07AX02
SYMPATHYL,MAGNÉSIUM,NA
SYNACTHENE,TÉTRACOSACTIDE,H01AA02
SYNACTHENE RETARD,CHLORURE DE ZINC,B05XA12
SYNACTHENE RETARD,TÉTRACOSACTIDE,H01AA02
SYNAGIS,PALIVIZUMAB,J06BD01
SYNAREL,NAFARÉLINE BASE,H01CA02
SYNAREL,ACÉTATE DE NAFARÉLINE,H01CA02
SYNAZE,CHLORHYDRATE D'AZÉLASTINE,NA
SYNAZE,PROPIONATE DE FLUTICASONE,NA
SYNJARDY,CHLORHYDRATE DE METFORMINE,NA
SYNJARDY,EMPAGLIFLOZINE,A10BK03
SYNTHOL,LÉVOMENTHOL,NA
SYNTHOL,LÉVOMENTHOL,NA
SYNTHOL,ACIDE SALICYLIQUE,D01AE12
SYNTHOL,ACIDE SALICYLIQUE,S01BC08
SYNTHOL,RÉSORCINOL,D10AX02
SYNTHOL,RÉSORCINOL,S01AX06
SYNTOCINON,OXYTOCINE,H01BB02
TADALAFIL,TADALAFIL,G04BE08
TAFINLAR,DABRAFÉNIB,L01EC02
TAFINLAR,MÉSILATE DE DABRAFÉNIB,NA
TAGRISSO,MÉSYLATE D'OSIMERTINIB,NA
TAGRISSO,OSIMERTINIB,L01EB04
TAHOR,ATORVASTATINE,C10AA05
TAHOR,ATORVASTATINE CALCIQUE TRIHYDRATÉE,NA
TAHOR,ATORVASTATINE CALCIQUE,NA
TAKADOL,CHLORHYDRATE DE TRAMADOL,NA
TAKHZYRO,LANADÉLUMAB,B06AC05
TAKROZEM,TACROLIMUS,D11AH01
TAKROZEM,TACROLIMUS,L04AD02
TAKROZEM,TACROLIMUS,NA
TAKROZEM,TACROLIMUS MONOHYDRATÉ,NA
TALMANCO,TADALAFIL,G04BE08
TALOXA,FELBAMATE,N03AX10
TALTZ,IXÉKIZUMAB,L04AC13
TALZENNA,TALAZOPARIB,L01XK04
TAMIFLU,OSÉLTAMIVIR (PHOSPHATE D'),NA
TAMIFLU,OSÉLTAMIVIR,J05AH02
TAMOXIFENE,CITRATE DE TAMOXIFÈNE,NA
TAMOXIFENE,TAMOXIFÈNE BASE,L02BA01
TAMOXIFENE,TAMOXIFÈNE,L02BA01
TAMOXIFENE,TAMOXIFÈNE (CITRATE DE),NA
TAMSULOSINE,CHLORHYDRATE DE TAMSULOSINE,NA
TAMSULOSINE,TAMSULOSINE,G04CA02
TARCEVA,ERLOTINIB (CHLORHYDRATE D'),NA
TARCEVA,ERLOTINIB,L01EB02
TARDYFERON,SULFATE FERREUX HEPTAHYDRATÉ,B03AA07
TARDYFERON,FER,NA
TARDYFERON,SULFATE FERREUX DESSÉCHÉ,NA
TARDYFERON,FERREUX (SULFATE) DESSÉCHÉ,NA
TARDYFERON B9,FER,NA
TARDYFERON B9,SULFATE FERREUX DESSÉCHÉ,NA
TARDYFERON B9,ACIDE FOLIQUE ANHYDRE,B03BB01
TARDYFERON B9,ACIDE FOLIQUE ANHYDRE,V04CX02
TAREG,VALSARTAN,C09CA03
TARGOCID,TÉICOPLANINE,J01XA02
TARGRETIN,BEXAROTÈNE,L01XF03
TARKA,CHLORHYDRATE DE VÉRAPAMIL,NA
TARKA,TRANDOLAPRIL,C09AA10
TASIGNA,NILOTINIB,L01EA03
TASMAR,TOLCAPONE,N04BX01
TAVANIC,LÉVOFLOXACINE HÉMIHYDRATÉE,J01MA12
TAVANIC,LÉVOFLOXACINE HÉMIHYDRATÉE,S01AE05
TAVANIC,LÉVOFLOXACINE,NA
TAXOTERE,DOCÉTAXEL TRIHYDRATÉ,L01CD02
TAXOTERE,DOCÉTAXEL ANHYDRE,NA
TAZOCILLINE,PIPÉRACILLINE SODIQUE,NA
TAZOCILLINE,TAZOBACTAM,J01CG02
TAZOCILLINE,TAZOBACTAM SODIQUE,NA
TAZOCILLINE,PIPÉRACILLINE BASE,J01CA12
TAZOCILLINE,PIPÉRACILLINE BASE,NA
TCAPS,LÉVOTHYROXINE SODIQUE,H03AA01
TCAPS,LÉVOTHYROXINE SODIQUE ANHYDRE,H03AA01
TEATROIS,TIRATRICOL,D11AX08
TEATROIS,TIRATRICOL,H03AA04
TECENTRIQ,ATÉZOLIZUMAB,L01FF05
TECFIDERA,FUMARATE DE DIMÉTHYLE,L04AX07
TECHNESCAN DMSA,"MÉSO 2,3 DIMERCAPTOSUCCINIQUE ACIDE",NA
TECHNESCAN DTPA,ACIDE PENTÉTIQUE,NA
TECHNESCAN HDP,OXIDRONATE DE SODIUM,NA
TECHNESCAN MAG,BENZOYL MERCAPTOACÉTYL TRIGLYCINE,NA
TEDRALAN,THÉOPHYLLINE,NA
TEGLUTIK,RILUZOLE,N07XX02
TEGRETOL,CARBAMAZÉPINE,N03AF01
TEGSEDI,INOTERSEN,N07XX15
TEICOPLANINE,TÉICOPLANINE,J01XA02
TEKCIS,MOLYBDATE (VI) [99 MO] DE SODIUM,NA
TELEBRIX GASTRO,IOXITALAMATE DE MÉGLUMINE,NA
TELFAST,CHLORHYDRATE DE FEXOFÉNADINE,NA
TELMISARTAN,TELMISARTAN,C09CA07
TELMISARTAN/AMLODIPINE,AMLODIPINE,C08CA01
TELMISARTAN/AMLODIPINE,TELMISARTAN,C09CA07
TELMISARTAN/AMLODIPINE,BÉSILATE D'AMLODIPINE,NA
TELMISARTAN/HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,C03AA03
TELMISARTAN/HYDROCHLOROTHIAZIDE,TELMISARTAN,C09CA07
TELZIR,FOSAMPRÉNAVIR CALCIQUE,NA
TELZIR,FOSAMPRÉNAVIR,J05AE07
TEMERIT,CHLORHYDRATE DE NÉBIVOLOL,NA
TEMERIT,NÉBIVOLOL BASE,C07AB12
TEMERIT,NÉBIVOLOL (CHLORHYDRATE DE),NA
TEMERITDUO,HYDROCHLOROTHIAZIDE,C03AA03
TEMERITDUO,CHLORHYDRATE DE NÉBIVOLOL,NA
TEMERITDUO,NÉBIVOLOL BASE,C07AB12
TEMESTA,LORAZÉPAM,N05BA06
TEMGESIC,BUPRÉNORPHINE (CHLORHYDRATE DE),NA
TEMGESIC,BUPRÉNORPHINE,N02AE01
TEMGESIC,BUPRÉNORPHINE,N07BC01
TEMODAL,TÉMOZOLOMIDE,L01AX03
TEMOZOLOMIDE,TÉMOZOLOMIDE,L01AX03
TENDOL,DICLOFÉNAC SODIQUE,NA
TENDOL,DICLOFÉNAC DE DIÉTHYLAMINE,NA
TENKASI,DIPHOSPHATE D'ORITAVANCINE,NA
TENKASI,ORITAVANCINE,J01XA05
TENOFOVIR DISOPROXIL,TÉNOFOVIR DISOPROXIL,J05AF07
TENOFOVIR DISOPROXIL,FUMARATE DE TÉNOFOVIR DISOPROXIL,NA
TENOFOVIR DISOPROXIL,SUCCINATE DE TÉNOFOVIR DISOPROXIL,NA
TENORETIC,ATÉNOLOL,C07AB03
TENORETIC,CHLORTALIDONE,C03BA04
TENORMINE,ATÉNOLOL,C07AB03
TENSIONORME,BENDROFLUMÉTHIAZIDE,C03AA01
TENSIONORME,RÉSERPINE,C02AA02
TENSTATEN,CICLÉTANINE (CHLORHYDRATE DE),NA
TEOULA,ZOFÉNOPRIL CALCIQUE,NA
TEOULA,ZOFÉNOPRIL,C09AA15
TEPADINA,THIOTÉPA,L01AC01
TERALITHE,CARBONATE DE LITHIUM,NA
TERALITHE,LITHIUM,N05AN01
TERAZOSINE,TÉRAZOSINE BASE,G04CA03
TERAZOSINE,CHLORHYDRATE DE TÉRAZOSINE DIHYDRATÉ,NA
TERBINAFINE,CHLORHYDRATE DE TERBINAFINE,NA
TERBINAFINE,TERBINAFINE,D01AE15
TERBINAFINE,TERBINAFINE,D01BA02
TERBINAFINE,TERBINAFINE (CHLORHYDRATE DE),NA
TERBUTALINE,SULFATE DE TERBUTALINE,NA
TERCIAN,TARTRATE DE CYAMÉMAZINE,NA
TERCIAN,CYAMÉMAZINE BASE,N05AA06
TERCIAN,TARTRATE DE CYAMÉPROMAZINE,NA
TERCIAN,CYAMÉMAZINE,N05AA06
TERGYNAN,MÉTRONIDAZOLE,A01AB17
TERGYNAN,MÉTRONIDAZOLE,D06BX01
TERGYNAN,MÉTRONIDAZOLE,G01AF01
TERGYNAN,MÉTRONIDAZOLE,J01XD01
TERGYNAN,MÉTRONIDAZOLE,P01AB01
TERGYNAN,NYSTATINE,NA
TERIPARATIDE,TÉRIPARATIDE,H05AA02
TERLIPRESSINE,TERLIPRESSINE,H01BA04
TERLOMEXIN,NITRATE DE FENTICONAZOLE,NA
TERLOMEXIN,FENTICONAZOLE BASE,D01AC12
TERLOMEXIN,FENTICONAZOLE BASE,G01AF12
TERROSA,TÉRIPARATIDE,H05AA02
TESTAVAN,TESTOSTÉRONE,G03BA03
TETMODIS,TÉTRABÉNAZINE,N07XX06
TETRACAINE,TÉTRACAÏNE (CHLORHYDRATE DE),NA
TETRALYSAL,LYMÉCYCLINE,J01AA04
TETRALYSAL,TÉTRACYCLINE,A01AB13
TETRALYSAL,TÉTRACYCLINE,D06AA04
TETRALYSAL,TÉTRACYCLINE,J01AA07
TETRALYSAL,TÉTRACYCLINE,S01AA09
TETRALYSAL,TÉTRACYCLINE,S02AA08
TETRALYSAL,TÉTRACYCLINE,S03AA02
TETRAZEPAM,TÉTRAZÉPAM,M03BX07
TEVAGRASTIM,FILGRASTIM,L03AA02
TEVETEN,ÉPROSARTAN,C09CA02
TEVETEN,MÉSILATE D'ÉPROSARTAN,NA
TEXODIL,CÉFOTIAM,J01DC07
THAIS,ESTRADIOL,G03CA03
THAISSEPT,ESTRADIOL,G03CA03
THAISSEPT,ESTRADIOL HÉMIHYDRATÉ,NA
THAISSEPT,ESTRADIOL ANHYDRE,G03CA03
THALIDOMIDE,THALIDOMIDE,L04AX02
THALIDOMIDE BMS,THALIDOMIDE,L04AX02
THEOSTAT,THÉOPHYLLINE MONOHYDRATÉE,R03DA04
THEOSTAT,THÉOPHYLLINE ANHYDRE,NA
THEOSTAT,THÉOPHYLLINE,NA
THERACAP131,IODURE (131I) DE SODIUM,V09FX03
THERACAP131,IODURE (131I) DE SODIUM,V10XA01
THERALENE,ALIMÉMAZINE,R06AD01
THERALENE,TARTRATE D'ALIMÉMAZINE,NA
THERASOLV,UROKINASE (MAMMIFERE/HUMAIN/URINE),B01AD04
THIOCOLCHICOSIDE,THIOCOLCHICOSIDE,M03BX05
THIOPENTAL,THIOPENTAL SODIQUE,NA
THIOPHENICOL,THIAMPHÉNICOL,J01BA02
THIOTEPA,THIOTÉPA,L01AC01
THIOVALONE,PIVALATE DE TIXOCORTOL,NA
THIOVALONE,DIGLUCONATE DE CHLORHEXIDINE,NA
THYROFIX,LÉVOTHYROXINE SODIQUE,H03AA01
THYROFIX,LÉVOTHYROXINE SODIQUE ANHYDRE,H03AA01
THYROGEN,THYROTROPINE ALFA,H01AB01
THYROZOL,THIAMAZOLE,H03BB02
TIAPRIDAL,TIAPRIDE BASE,N05AL03
TIAPRIDE,TIAPRIDE BASE,N05AL03
TIBERAL,ORNIDAZOLE,G01AF06
TIBERAL,ORNIDAZOLE,J01XD03
TIBERAL,ORNIDAZOLE,P01AB03
TIBOLONE,TIBOLONE,G03CX01
TICLID,TICLOPIDINE (CHLORHYDRATE DE),NA
TICLOPIDINE,CHLORHYDRATE DE TICLOPIDINE,NA
TIENAM,IMIPÉNEM MONOHYDRATÉ,NA
TIENAM,CILASTATINE SODIQUE,NA
TIENAM,IMIPÉNEM ANHYDRE,NA
TIENAM,IMIPÉNEM ANHYDRE,NA
TIENAM,CILASTATINE ANHYDRE,NA
TIGECYCLINE,TIGÉCYCLINE,J01AA12
TIGREAT,FROVATRIPTAN BASE,N02CC07
TIGREAT,SUCCINATE DE FROVATRIPTAN MONOHYDRATÉ,NA
TILAVIST,NÉDOCROMIL SODIQUE,NA
TILCOTIL,TÉNOXICAM,M01AC02
TILDIEM,DILTIAZEM (CHLORHYDRATE DE),NA
TILLHEPO,ACIDE URSODÉOXYCHOLIQUE,A05AA02
TIMABAK,MALÉATE DE TIMOLOL,NA
TIMABAK,TIMOLOL BASE,NA
TIMACOR,TIMOLOL (MALÉATE DE),NA
TIMOCOMOD,MALÉATE DE TIMOLOL,NA
TIMOCOMOD,TIMOLOL BASE,NA
TIMOFEROL,FER,NA
TIMOFEROL,SULFATE FERREUX DESSÉCHÉ,NA
TIMOFEROL,SULFATE FERREUX,NA
TIMOFEROL,ACIDE ASCORBIQUE,A11GA01
TIMOFEROL,ACIDE ASCORBIQUE,G01AD03
TIMOFEROL,ACIDE ASCORBIQUE,S01XA15
TIMOLOL,MALÉATE DE TIMOLOL,NA
TIMOLOL,TIMOLOL BASE,NA
TIMOPTOL,MALÉATE DE TIMOLOL,NA
TIMOPTOL,TIMOLOL BASE,NA
TIORFAN,RACÉCADOTRIL,A07XA04
TIORFANOR,RACÉCADOTRIL,A07XA04
TIORFAST,RACÉCADOTRIL,A07XA04
TIOTROPIUM,TIOTROPIUM,NA
TIOTROPIUM,BROMURE DE TIOTROPIUM,R03BB04
TIROFIBAN,TIROFIBAN,B01AC17
TIROFIBAN,CHLORHYDRATE DE TIROFIBAN MONOHYDRATÉ,NA
TISANE,FUCUS,R06AX11
TISANE,PILOSELLE,NA
TISSEEL,APROTININE SYNTHÉTIQUE,B02AB01
TISSEEL,CHLORURE DE CALCIUM,NA
TITANOREINE A LA LIDOCAINE,LIDOCAÏNE,C01BB01
TITANOREINE A LA LIDOCAINE,LIDOCAÏNE,C05AD01
TITANOREINE A LA LIDOCAINE,LIDOCAÏNE,D04AB01
TITANOREINE A LA LIDOCAINE,LIDOCAÏNE,N01BB02
TITANOREINE A LA LIDOCAINE,LIDOCAÏNE,R02AD02
TITANOREINE A LA LIDOCAINE,LIDOCAÏNE,S01HA07
TITANOREINE A LA LIDOCAINE,LIDOCAÏNE,S02DA01
TIVICAY,DOLUTÉGRAVIR SODIQUE,NA
TIVICAY,DOLUTÉGRAVIR,J05AJ03
TIXOCORTOL,PIVALATE DE TIXOCORTOL,NA
TIXTAR,RIFAXIMINE,A07AA11
TIXTAR,RIFAXIMINE,D06AX11
TOBI,TOBRAMYCINE,J01GB01
TOBI,TOBRAMYCINE,S01AA12
TOBI PODHALER,TOBRAMYCINE,J01GB01
TOBI PODHALER,TOBRAMYCINE,S01AA12
TOBRABACT,TOBRAMYCINE,J01GB01
TOBRABACT,TOBRAMYCINE,S01AA12
TOBRADEX,DEXAMÉTHASONE,A01AC02
TOBRADEX,DEXAMÉTHASONE,C05AA09
TOBRADEX,DEXAMÉTHASONE,D07AB19
TOBRADEX,DEXAMÉTHASONE,D07XB05
TOBRADEX,DEXAMÉTHASONE,D10AA03
TOBRADEX,DEXAMÉTHASONE,H02AB02
TOBRADEX,DEXAMÉTHASONE,R01AD03
TOBRADEX,DEXAMÉTHASONE,S01BA01
TOBRADEX,DEXAMÉTHASONE,S01CB01
TOBRADEX,DEXAMÉTHASONE,S02BA06
TOBRADEX,DEXAMÉTHASONE,S03BA01
TOBRADEX,TOBRAMYCINE,J01GB01
TOBRADEX,TOBRAMYCINE,S01AA12
TOBRAMYCINE,TOBRAMYCINE,J01GB01
TOBRAMYCINE,TOBRAMYCINE,S01AA12
TOBREX,TOBRAMYCINE,J01GB01
TOBREX,TOBRAMYCINE,S01AA12
TOCO,ALPHA-TOCOPHÉROL (ACÉTATE D'),NA
TOCOLION,ACÉTATE D'ALPHA-TOCOPHÉROL,NA
TOCOPHEROL,ACÉTATE D'ALPHA-TOCOPHÉROL,NA
TOCTINO,ALITRÉTINOÏNE,D11AH04
TOCTINO,ALITRÉTINOÏNE,L01XF02
TODEXAL,DEXAMÉTHASONE,A01AC02
TODEXAL,DEXAMÉTHASONE,C05AA09
TODEXAL,DEXAMÉTHASONE,D07AB19
TODEXAL,DEXAMÉTHASONE,D07XB05
TODEXAL,DEXAMÉTHASONE,D10AA03
TODEXAL,DEXAMÉTHASONE,H02AB02
TODEXAL,DEXAMÉTHASONE,R01AD03
TODEXAL,DEXAMÉTHASONE,S01BA01
TODEXAL,DEXAMÉTHASONE,S01CB01
TODEXAL,DEXAMÉTHASONE,S02BA06
TODEXAL,DEXAMÉTHASONE,S03BA01
TODEXAL,TOBRAMYCINE,J01GB01
TODEXAL,TOBRAMYCINE,S01AA12
TOFRANIL,IMIPRAMINE (CHLORHYDRATE D'),NA
TOLAK,FLUOROURACILE,L01BC02
TOLEXINE,DOXYCYCLINE MONOHYDRATÉE,NA
TOLEXINE,DOXYCYCLINE ANHYDRE,A01AB22
TOLEXINE,DOXYCYCLINE ANHYDRE,J01AA02
TOLEXINE,DOXYCYCLINE ANHYDRE,NA
TOLURA,TELMISARTAN,C09CA07
TOLVAPTAN,TOLVAPTAN,C03XA01
TOMUDEX,RALTITREXED,L01BA03
TOPALGIC,CHLORHYDRATE DE TRAMADOL,NA
TOPIRAMATE,TOPIRAMATE,N03AX11
TOPISCAB,PERMÉTHRINE,P03AC04
